Orator,Entity Type,Part of Speech,Entity Phrase,Entity Root,Grouping,Seed Term,Function,Sentence
binladen,PERSON,PROPN,the mujahid Shaykh ',mujahid Shaykh ',ingroup,inferred,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,PERSON,PROPN,Umar 'Abd-al Rahman,Abd-al Rahman,ingroup,inferred,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,GPE,PROPN,the United States,the United States,outgroup,linked,,"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
binladen,GPE,PROPN,the United States,the United States,outgroup,linked,,"And, at the behest of the United States, a very large number of ulema, advocates of the call, and youth were arrested in the land of the two holy mosques."
binladen,PERSON,PROPN,Shaykh Salman,Shaykh Salman,,,,Prominent among them are Shaykh Salman
binladen,PERSON,NOUN,Shaykh Safar al-Hawali,Shaykh Safar al-Hawali,,,,"al-'Awdah, Shaykh Safar al-Hawali, and their brother."
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,PROPN,Pakistan,Pakistan,,,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,PROPN,Sudan,Sudan,,,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,PROPN,Afghanistan,Afghanistan,,,,"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
binladen,GPE,PROPN,Khorasan,Khorasan,,,,", a safe base was found in Khorasan [Afghanistan], on the soil of the Hindu Kush where, thanks be to God, the largest heretic power on earth was destroyed and where the superpower myth vanished in the face of the mujahidin's outcry of Allah Akbar [God is great]."
binladen,GPE,PROPN,[Afghanistan,Afghanistan,,,,", a safe base was found in Khorasan [Afghanistan], on the soil of the Hindu Kush where, thanks be to God, the largest heretic power on earth was destroyed and where the superpower myth vanished in the face of the mujahidin's outcry of Allah Akbar [God is great]."
binladen,GPE,PROPN,Afghanistan,Afghanistan,,,,"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
binladen,GPE,PROPN,Jewish-crusade alliance,Jewish-crusade alliance,outgroup,crusade alliance,Elevation,"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
binladen,PERSON,PROPN,the Prophet,Prophet,ingroup,linked,,"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
binladen,GPE,PROPN,[now Israel,Israel,outgroup,inferred,,"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
binladen,GPE,PROPN,Riyadh,Riyadh,,,Event,"The explosions of Riyadh and al-Khubar were only a small indication of that torrential flood resulting from the bitter suffering, repression, coercion, great injustice, disgraceful debauchery, and poverty."
binladen,GPE,NOUN,al-Khubar,al-Khubar,,,Event,"The explosions of Riyadh and al-Khubar were only a small indication of that torrential flood resulting from the bitter suffering, repression, coercion, great injustice, disgraceful debauchery, and poverty."
binladen,NORP,NOUN,the Islamic Shari'ah laws,Islamic Shari'ah laws,,,Othering,"Its suspension of the Islamic Shari'ah laws, replacing them with temporal laws, and its bloody confrontation with the truthful ulema and good youth — and God is above everyone."
binladen,PERSON,NOUN,tribal shaykhs,shaykhs,,,,"It dwelt on the major gaps in the regime's philosophy and the main anomalies in the regime's foundations, pointing to the suffering of society's symbols and leaders calling for reform, such as the ulema, religious protagonists, tribal shaykhs, merchants, dignitaries, and university professors, who were marginalized, neutralized, and even pursued and harassed."
binladen,ORG,PROPN,the Army,Army,,,Adpositional,"It discussed the state of the Army whose small numbers, poor training, and inefficient command were exposed by the Gulf crisis, despite the astronomical and unreasonable figures which had been mentioned and could not remain a secret."
binladen,GPE,PROPN,The (Gaza- Jericho,Jericho,,,,The (Gaza- Jericho)
binladen,GPE,PROPN,southern Yemen,Yemen,,,,"[agreement] and the case of the communists in southern Yemen are not too distant examples, and there are many others."
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"Upholding temporal laws and supporting heretics against Muslims are prohibited in Islam, as the ulema have ruled."
binladen,PERSON,PROPN,the ulema,ulema,ingroup,inferred,,"Upholding temporal laws and supporting heretics against Muslims are prohibited in Islam, as the ulema have ruled."
binladen,PERSON,PROPN,Interior Minister Prince Nayif,Minister Prince Nayif,,,,The person whom Interior Minister Prince Nayif is consulting [not further identified] was not tolerated in his own country because of his extreme dirt and affront to his people.
binladen,PERSON,PROPN,Prince Nayif,Prince Nayif,,,,"He was dismissed from his post but came to be received by Prince Nayif with open arms, for cooperation on sin and aggression."
binladen,PERSON,NOUN,statelets,statelets,,,,"That is why everyone agrees that ""a crooked stick cannot have a straight shadow"" and that there must be concentration on hitting the main enemy who has thrust the nation into whirlpools and labyrinths for decades since dividing it into states and statelets."
binladen,ORG,PROPN,the Interior Ministry,the Interior Ministry,,,,"Sometimes he would set loose his men in the Interior Ministry, who had graduated from Shari'ah colleges, to confuse and undermine the reform march and to draw the nation and the people away from that march, sometimes luring some righteous men to enter into a war of words with the ulema and the symbols of the reform movement to exhaust everyone's energy and keep the great heresy in control of the nation, misleading it and continuing the peripheral discussions while the worship of God and adherence to his Shari'ah are absent in reality."
binladen,PERSON,PROPN,the ulema,ulema,ingroup,inferred,,"Sometimes he would set loose his men in the Interior Ministry, who had graduated from Shari'ah colleges, to confuse and undermine the reform march and to draw the nation and the people away from that march, sometimes luring some righteous men to enter into a war of words with the ulema and the symbols of the reform movement to exhaust everyone's energy and keep the great heresy in control of the nation, misleading it and continuing the peripheral discussions while the worship of God and adherence to his Shari'ah are absent in reality."
binladen,ORG,PROPN,the Interior Ministry,the Interior Ministry,,,Othering,One should beware of these and similar diabolical tricks by the Interior Ministry.
binladen,PERSON,PROPN,the ulema,ulema,ingroup,inferred,,"The appropriate behavior in such cases is what has been advised by the ulema, such as what the late Shaykh al-Islam Ibn-Taymiyah said, namely that all Muslims should join hands in warding off the great heresy controlling the Islamic world while sustaining minimum damage to prevent the greater damage which is in the fact the great heresy."
binladen,PERSON,PROPN,the late Shaykh,Shaykh,,,,"The appropriate behavior in such cases is what has been advised by the ulema, such as what the late Shaykh al-Islam Ibn-Taymiyah said, namely that all Muslims should join hands in warding off the great heresy controlling the Islamic world while sustaining minimum damage to prevent the greater damage which is in the fact the great heresy."
binladen,PERSON,PROPN,Ibn-Taymiyah,Ibn-Taymiyah,ingroup,inferred,,"The appropriate behavior in such cases is what has been advised by the ulema, such as what the late Shaykh al-Islam Ibn-Taymiyah said, namely that all Muslims should join hands in warding off the great heresy controlling the Islamic world while sustaining minimum damage to prevent the greater damage which is in the fact the great heresy."
binladen,NORP,PROPN,all Muslims,Muslims,ingroup,inferred,,"The appropriate behavior in such cases is what has been advised by the ulema, such as what the late Shaykh al-Islam Ibn-Taymiyah said, namely that all Muslims should join hands in warding off the great heresy controlling the Islamic world while sustaining minimum damage to prevent the greater damage which is in the fact the great heresy."
binladen,PERSON,PROPN,Shaykh,Shaykh,,,,Shaykh al-Islam
binladen,PERSON,PROPN,Ibn-Taymiyah,Ibn-Taymiyah,ingroup,inferred,,"Ibn-Taymiyah said: ""Fighting in self-defense is the strongest way of warding off harm to honor and religion, and it is a collective duty."
binladen,NORP,PROPN,all Muslims,Muslims,ingroup,inferred,,""" If warding off that aggressive enemy becomes impossible without all Muslims of all walks and ranks getting together, then that is their duty and they should in that case overlook some disputed issues."
binladen,NORP,PROPN,the Muslims,Muslims,ingroup,inferred,,Overlooking such disputes at this stage is less harmful than continuation of the great heresy afflicting the countries of the Muslims.
binladen,ORG,PROPN,the mujahidin,mujahidin,ingroup,inferred,,"Referring to the state of the mujahidin and Muslims, he said that if among them there happened to be very sinful soldiers, that would not justify abandoning the jihad against the aggressive enemy."
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"Referring to the state of the mujahidin and Muslims, he said that if among them there happened to be very sinful soldiers, that would not justify abandoning the jihad against the aggressive enemy."
binladen,NORP,PROPN,the Tatars,Tatars,,,,"After discussing the case of the Tatars and their change of God's laws, he, may God have mercy on his soul, said that ""agreement on fighting them fully would please God, uphold his word, and establish his religion and obedience to his Prophet."
binladen,PERSON,PROPN,his Prophet,Prophet,ingroup,linked,,"After discussing the case of the Tatars and their change of God's laws, he, may God have mercy on his soul, said that ""agreement on fighting them fully would please God, uphold his word, and establish his religion and obedience to his Prophet."
binladen,NORP,PROPN,[Muslims,Muslims,ingroup,inferred,,"If some among them [Muslims] happen to be sinful and ill intentioned, fighting for leadership or offending others on some matters, and if the religious harm of not fighting them is greater than the harm of fighting them, then the duty is to fight them to ward off the greater harm."
binladen,PERSON,PROPN,the Prophet,Prophet,ingroup,linked,,"That is why one of the principles of the Sunnah and the [Prophet's] group is to do conquest using every good as well as sinful person, for God supports this in the interest of the cause of religion because, as the Prophet, may God's prayers and blessings be upon him, said, if conquest can only be achieved with the help of sinful princes or very sinful soldiers, then one of two things must be done:"
binladen,ORG,PROPN,[daf,daf,,,,"There is no greater duty after faith than warding [daf'] off [that enemy], namely the Israeli-American alliance occupying the land of the two holy mosques and the land of the ascension of the Prophet, may God's prayers and blessings be upon him."
binladen,ORG,PROPN,the Israeli-American alliance,alliance,outgroup,enemy,Othering,"There is no greater duty after faith than warding [daf'] off [that enemy], namely the Israeli-American alliance occupying the land of the two holy mosques and the land of the ascension of the Prophet, may God's prayers and blessings be upon him."
binladen,PERSON,PROPN,the Prophet,Prophet,ingroup,linked,,"There is no greater duty after faith than warding [daf'] off [that enemy], namely the Israeli-American alliance occupying the land of the two holy mosques and the land of the ascension of the Prophet, may God's prayers and blessings be upon him."
binladen,NORP,PROPN,The Muslims,Muslims,ingroup,inferred,,"The Muslims are reminded that they should avoid infighting between sons of the Muslim nation because that will have dire consequences, the most important being:  1."
binladen,ORG,PROPN,the mujahidin,mujahidin,ingroup,brothers the people,Elevation,"Here we pause and urge our brothers the people, the mujahidin, to preserve that wealth and not to involve it in the battle because it is a great Islamic wealth and a great and important economic power for the coming Islamic state, God willing."
binladen,GPE,PROPN,the aggressive United States,United States,outgroup,aggressive,Othering,"We also firmly warn the aggressive United States against burning that Islamic wealth at the end of the war for fear of it falling into the hands of its legitimate owners and to harm its economic rivals in Europe and the Far East, especially Japan, which is considered the main consumer of the region's oil."
binladen,GPE,PROPN,especially Japan,Japan,,,,"We also firmly warn the aggressive United States against burning that Islamic wealth at the end of the war for fear of it falling into the hands of its legitimate owners and to harm its economic rivals in Europe and the Far East, especially Japan, which is considered the main consumer of the region's oil."
binladen,GPE,PROPN,Israel,Israel,outgroup,inferred,,"Partition of the country of the two holy mosques with Israel taking the northern part Partition of the land of the two holy mosques is considered to be an urgent demand of the Jewish-crusade alliance, because the existence of a state of such size and with such resources under sound Islamic rule, which, God willing, is coming, would be a threat to the Jewish entity in Palestine, for the land of the two holy mosques would be a symbol for the unity of the Islamic world because of the presence of the holy Ka'bah,"
binladen,GPE,NOUN,the Jewish-crusade alliance,Jewish-crusade alliance,outgroup,crusade alliance,Othering,"Partition of the country of the two holy mosques with Israel taking the northern part Partition of the land of the two holy mosques is considered to be an urgent demand of the Jewish-crusade alliance, because the existence of a state of such size and with such resources under sound Islamic rule, which, God willing, is coming, would be a threat to the Jewish entity in Palestine, for the land of the two holy mosques would be a symbol for the unity of the Islamic world because of the presence of the holy Ka'bah,"
binladen,GPE,PROPN,Palestine,Palestine,,,,"Partition of the country of the two holy mosques with Israel taking the northern part Partition of the land of the two holy mosques is considered to be an urgent demand of the Jewish-crusade alliance, because the existence of a state of such size and with such resources under sound Islamic rule, which, God willing, is coming, would be a threat to the Jewish entity in Palestine, for the land of the two holy mosques would be a symbol for the unity of the Islamic world because of the presence of the holy Ka'bah,"
binladen,NORP,PROPN,all Muslims,Muslims,ingroup,inferred,,the qiblah of all Muslims.
binladen,GPE,PROPN,happy Yemen,Yemen,,,,That is in addition to the strategic depth and extended manpower fighting for God in happy Yemen.
binladen,PERSON,PROPN,the Prophet,Prophet,ingroup,linked,,"As the Prophet, may God's prayers and blessings be upon him, said, ""and from Aden and Abyan would come 12,000 who would support God and his Prophet, and they are among the best of us."
binladen,GPE,PROPN,Aden,Aden,,,,"As the Prophet, may God's prayers and blessings be upon him, said, ""and from Aden and Abyan would come 12,000 who would support God and his Prophet, and they are among the best of us."
binladen,PERSON,PROPN,his Prophet,Prophet,ingroup,linked,,"As the Prophet, may God's prayers and blessings be upon him, said, ""and from Aden and Abyan would come 12,000 who would support God and his Prophet, and they are among the best of us."
binladen,ORG,PROPN,the Armed Forces,the Armed Forces,ingroup,brothers,Elevation,"Our brothers in the Armed Forces, National Security, and security forces, may God preserve you as defenders of Islam and Muslim:"
binladen,ORG,PROPN,National Security,National Security,ingroup,brothers,Elevation,"Our brothers in the Armed Forces, National Security, and security forces, may God preserve you as defenders of Islam and Muslim:"
binladen,NORP,PROPN,Muslim,Muslim,ingroup,inferred,,"Our brothers in the Armed Forces, National Security, and security forces, may God preserve you as defenders of Islam and Muslim:"
binladen,PERSON,NOUN,", al-Muthanna Bin-Harithah al-Shibani",al-Muthanna Bin-Harithah al-Shibani,ingroup,inferred,,"O protectors of monotheism and guardians of the faith; O successors of those who spread the light of guidance in the world; O grandsons of Sa'd Bin-Abi-Waqqas, al-Muthanna Bin-Harithah al-Shibani, al-Qa'qa' Bin-'Amr al-Tamimi, and the companions who fought alongside them:"
binladen,PERSON,PROPN,Bin-'Amr al-Tamimi,Bin-'Amr al-Tamimi,ingroup,inferred,,"O protectors of monotheism and guardians of the faith; O successors of those who spread the light of guidance in the world; O grandsons of Sa'd Bin-Abi-Waqqas, al-Muthanna Bin-Harithah al-Shibani, al-Qa'qa' Bin-'Amr al-Tamimi, and the companions who fought alongside them:"
binladen,ORG,PROPN,the Army,Army,,,,"You rushed to join the Army and the Guard merely to join the jihad for the cause of God in order to spread the word of God and to defend Islam and the land of the two holy mosques against invaders and occupiers, which is the highest degree of belief in religion."
binladen,ORG,PROPN,the Guard,Guard,,,,"You rushed to join the Army and the Guard merely to join the jihad for the cause of God in order to spread the word of God and to defend Islam and the land of the two holy mosques against invaders and occupiers, which is the highest degree of belief in religion."
binladen,NORP,PROPN,the Jews,Jews,outgroup,inferred,,"al-Aqsa Mosque]—despite the promises made by the rulers over half a century to work to recover it, but instead, the al-Aqsa Mosque has been handed to the Jews, and the nation's wounds are still bleeding—despite all this, the Saudi regime shocked the nation by bringing the women of Christian armies to defend it and opening the country of the two holy mosques to the crusaders."
binladen,ORG,NOUN,the crusaders,crusaders,,,,"al-Aqsa Mosque]—despite the promises made by the rulers over half a century to work to recover it, but instead, the al-Aqsa Mosque has been handed to the Jews, and the nation's wounds are still bleeding—despite all this, the Saudi regime shocked the nation by bringing the women of Christian armies to defend it and opening the country of the two holy mosques to the crusaders."
binladen,GPE,PROPN,the United States,the United States,outgroup,linked,,The regime opened the country which is now full of the armies of the United States and its allies.
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,So the regime has betrayed the nation and allied with and supported the infidels against Muslims.
binladen,GPE,PROPN,the Arabian Peninsula,Arabian Peninsula,,,Othering,"By opening the Arabian Peninsula to the crusaders, the regime has violated the Prophet's will to his nation before his death: ""Move the atheists out of the Arabian Peninsula."""
binladen,ORG,NOUN,the crusaders,crusaders,,,Othering,"By opening the Arabian Peninsula to the crusaders, the regime has violated the Prophet's will to his nation before his death: ""Move the atheists out of the Arabian Peninsula."""
binladen,GPE,PROPN,the Arabian Peninsula,Arabian Peninsula,,,,"By opening the Arabian Peninsula to the crusaders, the regime has violated the Prophet's will to his nation before his death: ""Move the atheists out of the Arabian Peninsula."""
binladen,NORP,PROPN,the Jews,Jews,outgroup,inferred,,"He also said: ""If I live, God willing, I will move the Jews and the Christians out of the Arabian Peninsula."""
binladen,NORP,PROPN,the Christians,Christians,outgroup,inferred,,"He also said: ""If I live, God willing, I will move the Jews and the Christians out of the Arabian Peninsula."""
binladen,GPE,PROPN,the Arabian Peninsula,Arabian Peninsula,,,,"He also said: ""If I live, God willing, I will move the Jews and the Christians out of the Arabian Peninsula."""
binladen,GPE,PROPN,Iraq,Iraq,,,,"The claim that the crusaders' presence in the land of the two holy mosques is a necessity and a temporary matter aimed at defending this land is an old and obsolete story, especially after the brutal destruction of Iraq and its military and civilian infrastructures."
binladen,ORG,NOUN,the crusaders,crusaders,,,Othering,This claim reflects the scale of the crusaders' and Jews' spite toward Muslims and their children.
binladen,ORG,NOUN,Jews,Jews,,,Othering,This claim reflects the scale of the crusaders' and Jews' spite toward Muslims and their children.
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,This claim reflects the scale of the crusaders' and Jews' spite toward Muslims and their children.
binladen,GPE,PROPN,the United States,the United States,outgroup,linked,,"Besides, this claim is no longer valid following the statements made by the leaders of atheism in the United States, the most recent being that of US Defense Secretary William Perry after the al-Khubar blast targeting US troops."
binladen,PERSON,PROPN,US Defense Secretary William Perry,Secretary William Perry,outgroup,inferred,,"Besides, this claim is no longer valid following the statements made by the leaders of atheism in the United States, the most recent being that of US Defense Secretary William Perry after the al-Khubar blast targeting US troops."
binladen,GPE,NOUN,the al-Khubar blast,al-Khubar blast,,,,"Besides, this claim is no longer valid following the statements made by the leaders of atheism in the United States, the most recent being that of US Defense Secretary William Perry after the al-Khubar blast targeting US troops."
binladen,GPE,NOUN,US troops,US troops,outgroup,inferred,,"Besides, this claim is no longer valid following the statements made by the leaders of atheism in the United States, the most recent being that of US Defense Secretary William Perry after the al-Khubar blast targeting US troops."
binladen,GPE,NOUN,US interests,US interests,,,,He said that their presence in the land of the two holy mosques is aimed at protecting US interests.
binladen,PERSON,NOUN,Shaykh Safar al-Hawali,Shaykh Safar al-Hawali,ingroup,linked,Elevation,Shaykh Safar al-Hawali - may God help him - wrote a 70-page book in which he listed evidence and proofs that the US presence in the Arabian Peninsula is a pre-planned military occupation.
binladen,GPE,NOUN,the US presence,US presence,,,Othering,Shaykh Safar al-Hawali - may God help him - wrote a 70-page book in which he listed evidence and proofs that the US presence in the Arabian Peninsula is a pre-planned military occupation.
binladen,GPE,PROPN,the Arabian Peninsula,Arabian Peninsula,,,,Shaykh Safar al-Hawali - may God help him - wrote a 70-page book in which he listed evidence and proofs that the US presence in the Arabian Peninsula is a pre-planned military occupation.
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"The claim is another trick by the regime, but it will not fool Muslims as its first trick fooled the Palestinian mujahidin."
binladen,ORG,PROPN,Muslims,Muslims,,,,"The claim is another trick by the regime, but it will not fool Muslims as its first trick fooled the Palestinian mujahidin."
binladen,ORG,PROPN,the Palestinian mujahidin,mujahidin,,,,"The claim is another trick by the regime, but it will not fool Muslims as its first trick fooled the Palestinian mujahidin."
binladen,GPE,PROPN,the Muslim People in Palestine,People,,,,"When the Muslim people in Palestine rose up in their great jihad against the British occupation in 1354 H, corresponding to 1936, Britain failed to stop the mujahidin or their jihad."
binladen,GPE,PROPN,Britain,Britain,outgroup,inferred,,"When the Muslim people in Palestine rose up in their great jihad against the British occupation in 1354 H, corresponding to 1936, Britain failed to stop the mujahidin or their jihad."
binladen,ORG,PROPN,the mujahidin,mujahidin,ingroup,inferred,,"When the Muslim people in Palestine rose up in their great jihad against the British occupation in 1354 H, corresponding to 1936, Britain failed to stop the mujahidin or their jihad."
binladen,GPE,PROPN,Palestine,Palestine,,,,"Their devil inspired them that the armed jihad in Palestine can only be stopped through their agent, King 'Abd-al-'Aziz, who they believed was capable of deceiving the mujahidin."
binladen,ORG,PROPN,the mujahidin,mujahidin,ingroup,inferred,,"Their devil inspired them that the armed jihad in Palestine can only be stopped through their agent, King 'Abd-al-'Aziz, who they believed was capable of deceiving the mujahidin."
binladen,ORG,NOUN,mujahidin leaders,mujahidin leaders,ingroup,inferred,,And indeed King 'Abd-al-'Aziz carried out his mission by sending his two sons to meet with mujahidin leaders in Palestine and inform him of King 'Abd-al-'Aziz' pledge to guarantee the British Government's promises that it would withdraw and meet their demands if they halted the jihad.
binladen,GPE,PROPN,Palestine,Palestine,,,,And indeed King 'Abd-al-'Aziz carried out his mission by sending his two sons to meet with mujahidin leaders in Palestine and inform him of King 'Abd-al-'Aziz' pledge to guarantee the British Government's promises that it would withdraw and meet their demands if they halted the jihad.
binladen,NORP,PROPN,the Christians,Christians,outgroup,inferred,,He allied himself with the Christians against Muslims.
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,He allied himself with the Christians against Muslims.
binladen,ORG,PROPN,the mujahidin,mujahidin,,,Othering,"And he abandoned the mujahidin, instead of espousing the al-Aqsa Mosque issue and supporting those struggling for the sake of God's cause."
binladen,PERSON,PROPN,King Fahd,King Fahd,outgroup,inferred,,"And here is his son, King Fahd, trying to fool Muslims with the second trick in order to squander our remaining holy sites."
binladen,NORP,PROPN,Muslims,Muslims,ingroup,inferred,,"And here is his son, King Fahd, trying to fool Muslims with the second trick in order to squander our remaining holy sites."
binladen,PERSON,PROPN,the ulema,ulema,ingroup,inferred,,He lied to the ulema who sanctioned the Americans' entry and he lied to the Islamic world's ulema and leaders at the [World Muslim] League's conference in holy Mecca in the wake of the Islamic world's condemnation of the crusader forces' entry into the country of the two holy mosques on the pretext of defending it.
binladen,GPE,PROPN,holy Mecca,Mecca,,,Othering,He lied to the ulema who sanctioned the Americans' entry and he lied to the Islamic world's ulema and leaders at the [World Muslim] League's conference in holy Mecca in the wake of the Islamic world's condemnation of the crusader forces' entry into the country of the two holy mosques on the pretext of defending it.
binladen,NORP,PROPN,the Americans,Americans,outgroup,linked,,It has continued to lie to people and claim that the Americans will depart...which is impossible.
binladen,ORG,PROPN,the Army,Army,,,Othering,"Instead of pushing the Army, the Guard, and the security men to confront the occupiers, the regime is using them to protect the occupiers, which is the highest degree of humiliation, insult, and treason."
binladen,ORG,PROPN,the Guard,Guard,,,Othering,"Instead of pushing the Army, the Guard, and the security men to confront the occupiers, the regime is using them to protect the occupiers, which is the highest degree of humiliation, insult, and treason."
binladen,ORG,PROPN,the Army,Army,,,,"We remind the minority of people in the Army, police, Guard, and security forces, who are being humiliated by the regime to get them to encroach on Muslims' rights and lives, of Almighty God's words in the divine hadith: ""I declare war on those who are hostile toward holy men."""
binladen,ORG,PROPN,Guard,Guard,,,,"We remind the minority of people in the Army, police, Guard, and security forces, who are being humiliated by the regime to get them to encroach on Muslims' rights and lives, of Almighty God's words in the divine hadith: ""I declare war on those who are hostile toward holy men."""
binladen,PERSON,PROPN,the Prophet,Prophet,ingroup,linked,,"And also of the Prophet's saying: ""A man will come holding the hand of another, saying: O God, this man killed me [talking about the Day of Judgment]"
binladen,PERSON,PROPN,The Prophet,Prophet,ingroup,linked,,"The Prophet is also reported to have said: ""The murdered will come on the Day of Judgment, clinging to his murderer."
binladen,ORG,PROPN,our regular Armed Forces,Armed Forces,ingroup,our,Classification,But you are aware that this stage requires the adoption of suitable combat methods due to the lack of parity between our regular Armed Forces and the enemy's forces.
binladen,ORG,PROPN,the Armed Forces,the Armed Forces,ingroup,linked,,"In other words, by waging guerrilla warfare in which the people's sons other than the Armed Forces take part."
binladen,ORG,PROPN,the Armed Forces,the Armed Forces,ingroup,linked,,"As is known, it is wise at this stage to spare the Armed Forces the task of engaging in traditional fighting with the crusader enemy's forces."
binladen,ORG,PROPN,the Armed Forces,the Armed Forces,ingroup,linked,,"This is with the exception of daring and powerful operations carried out separately by individuals from the Armed Forces, that is, without mobilizing regular forces with their traditional formations, and in a manner that would not reflect adversely on the Army, unless there are great interests to be gained and heavy losses to inflicted on the enemy—losses that destroy its foundations and rock its Pillars—losses that help to expel the enemy, routed—ensuring that no Muslim blood is shed in the process."
binladen,ORG,PROPN,the Army,Army,ingroup,inferred,,"This is with the exception of daring and powerful operations carried out separately by individuals from the Armed Forces, that is, without mobilizing regular forces with their traditional formations, and in a manner that would not reflect adversely on the Army, unless there are great interests to be gained and heavy losses to inflicted on the enemy—losses that destroy its foundations and rock its Pillars—losses that help to expel the enemy, routed—ensuring that no Muslim blood is shed in the process."
binladen,ORG,NOUN,your mujahidin brothers,mujahidin brothers,ingroup,inferred,,What your mujahidin brothers and sons want from you at this stage is to provide every possible support: information and the materials and arms needed for their work.
binladen,ORG,PROPN,the mujahidin,mujahidin,ingroup,inferred,,"And they want the security men — in particular — to turn a blind eye and deceive the enemy about their whereabouts, spread false rumors among its ranks, and do whatever is viable to help the mujahidin against the occupying enemy."
binladen,ORG,PROPN,the Armed Forces,the Armed Forces,ingroup,linked,,"We alert you to the fact that the regime might carry out operations against members of the Armed Forces, Guard, or security forces and try to attribute them to the mujahidin with a view to driving a wedge between them and you."
binladen,ORG,PROPN,the mujahidin,mujahidin,ingroup,inferred,,"We alert you to the fact that the regime might carry out operations against members of the Armed Forces, Guard, or security forces and try to attribute them to the mujahidin with a view to driving a wedge between them and you."
binladen,GPE,NOUN,the occupying US enemy,US enemy,outgroup,enemy,Classification,"While we know that the regime is fully responsible for what has afflicted the country and the people, the main disease and the cause of the affliction is the occupying US enemy."
binladen,GPE,PROPN,the Arabian Peninsula,Arabian Peninsula,,,,"Muslim brothers everywhere, the Arabian Peninsula in particular:  The money paid for US goods is turning into bullets [fired at] the chests of our brothers in Palestine, and tomorrow the chests of the sons of the country of the two holy mosques; by buying their goods we are strengthening their economy while we continue to become poorer."
binladen,GPE,NOUN,US goods,US goods,,,,"Muslim brothers everywhere, the Arabian Peninsula in particular:  The money paid for US goods is turning into bullets [fired at] the chests of our brothers in Palestine, and tomorrow the chests of the sons of the country of the two holy mosques; by buying their goods we are strengthening their economy while we continue to become poorer."
binladen,GPE,PROPN,Palestine,Palestine,,,,"Muslim brothers everywhere, the Arabian Peninsula in particular:  The money paid for US goods is turning into bullets [fired at] the chests of our brothers in Palestine, and tomorrow the chests of the sons of the country of the two holy mosques; by buying their goods we are strengthening their economy while we continue to become poorer."
binladen,GPE,NOUN,US arms,US arms,,,,"Is it reasonable for our country to be the biggest importer of US arms in the world, a trade partner of the Americans in the region - the Americans who are occupying the country of the two holy mosques and supporting their Jewish brothers with money, arms, and men to occupy Palestine and kill and displace Muslims there?!!"
binladen,NORP,PROPN,the Americans,Americans,outgroup,linked,,"Is it reasonable for our country to be the biggest importer of US arms in the world, a trade partner of the Americans in the region—he Americans who are occupying the country of the two holy mosques and supporting their Jewish brothers with money, arms, and men to occupy Palestine and kill and displace Muslims there?!!"
binladen,NORP,PROPN,the region—he Americans,the region—he Americans,,,,"Is it reasonable for our country to be the biggest importer of US arms in the world, a trade partner of the Americans in the region - the Americans who are occupying the country of the two holy mosques and supporting their Jewish brothers with money, arms, and men to occupy Palestine and kill and displace Muslims there?!!"
